"AAL" "AAP" "DAL" "GOO" "HPE" "SON" "SUN" "XOM"
"43" FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE
"44" TRUE TRUE TRUE TRUE TRUE FALSE TRUE FALSE
"45" FALSE FALSE FALSE FALSE TRUE FALSE FALSE TRUE
"46" FALSE FALSE TRUE TRUE FALSE TRUE TRUE TRUE
"47" FALSE FALSE FALSE TRUE FALSE FALSE TRUE FALSE
"48" FALSE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"49" FALSE TRUE FALSE TRUE TRUE TRUE TRUE TRUE
"50" FALSE TRUE FALSE FALSE FALSE TRUE TRUE TRUE
"51" TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
"52" TRUE FALSE FALSE FALSE TRUE TRUE FALSE TRUE
"53" FALSE TRUE FALSE TRUE FALSE TRUE FALSE FALSE
"54" TRUE TRUE FALSE TRUE FALSE TRUE FALSE FALSE
"55" TRUE TRUE TRUE TRUE FALSE FALSE TRUE TRUE
"56" FALSE TRUE FALSE TRUE FALSE TRUE FALSE FALSE
"57" FALSE TRUE TRUE FALSE TRUE FALSE TRUE FALSE
"58" TRUE TRUE TRUE FALSE TRUE TRUE TRUE FALSE
"59" TRUE TRUE FALSE TRUE TRUE TRUE FALSE TRUE
"60" FALSE FALSE FALSE FALSE FALSE TRUE TRUE TRUE
"61" FALSE TRUE FALSE FALSE FALSE TRUE TRUE TRUE
"62" FALSE TRUE FALSE TRUE TRUE FALSE TRUE TRUE
"63" TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"64" FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE
"65" FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE
"66" FALSE TRUE TRUE FALSE FALSE FALSE FALSE FALSE
"67" TRUE FALSE FALSE TRUE TRUE FALSE FALSE FALSE
"68" FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"69" FALSE FALSE FALSE FALSE FALSE FALSE FALSE TRUE
"70" TRUE FALSE TRUE FALSE FALSE FALSE FALSE TRUE
"71" TRUE TRUE TRUE FALSE TRUE TRUE TRUE FALSE
"72" FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"73" TRUE TRUE TRUE TRUE FALSE TRUE TRUE TRUE
"74" FALSE TRUE FALSE TRUE TRUE TRUE FALSE TRUE
"75" FALSE FALSE FALSE FALSE FALSE FALSE TRUE FALSE
"76" FALSE TRUE FALSE FALSE FALSE FALSE FALSE FALSE
"77" FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE
"78" TRUE FALSE TRUE FALSE FALSE TRUE TRUE FALSE
"79" FALSE TRUE FALSE TRUE FALSE TRUE TRUE TRUE
"80" TRUE TRUE TRUE TRUE TRUE FALSE FALSE TRUE
"81" FALSE TRUE FALSE TRUE TRUE FALSE FALSE TRUE
"82" FALSE TRUE FALSE FALSE FALSE TRUE FALSE TRUE
"83" TRUE TRUE TRUE TRUE TRUE TRUE TRUE FALSE
"84" FALSE TRUE FALSE FALSE FALSE FALSE TRUE TRUE
"85" TRUE TRUE TRUE TRUE TRUE FALSE TRUE FALSE
"86" FALSE TRUE FALSE TRUE FALSE TRUE TRUE FALSE
"87" TRUE FALSE TRUE TRUE TRUE TRUE FALSE TRUE
"88" FALSE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"89" TRUE FALSE TRUE FALSE TRUE TRUE TRUE FALSE
"90" FALSE FALSE FALSE FALSE FALSE FALSE TRUE TRUE
"91" TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
"92" FALSE TRUE FALSE TRUE FALSE TRUE FALSE TRUE
"93" FALSE TRUE FALSE FALSE FALSE TRUE FALSE FALSE
"94" FALSE FALSE FALSE FALSE FALSE TRUE FALSE FALSE
"95" TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"96" TRUE FALSE TRUE TRUE TRUE TRUE FALSE FALSE
"97" FALSE FALSE FALSE FALSE FALSE FALSE FALSE FALSE
"98" TRUE TRUE FALSE TRUE FALSE FALSE FALSE FALSE
"99" TRUE TRUE TRUE FALSE TRUE TRUE TRUE TRUE
"100" FALSE FALSE FALSE FALSE FALSE TRUE TRUE FALSE
"101" FALSE TRUE TRUE TRUE TRUE TRUE FALSE FALSE
"102" TRUE TRUE FALSE TRUE TRUE FALSE TRUE TRUE
"103" FALSE FALSE TRUE TRUE TRUE FALSE TRUE FALSE
"104" TRUE FALSE TRUE TRUE TRUE FALSE TRUE TRUE
"105" TRUE TRUE TRUE TRUE TRUE FALSE FALSE TRUE
"106" FALSE TRUE TRUE TRUE TRUE FALSE FALSE TRUE
"107" TRUE TRUE TRUE TRUE TRUE TRUE FALSE TRUE
"108" FALSE FALSE FALSE TRUE FALSE FALSE FALSE FALSE
"109" FALSE FALSE TRUE FALSE TRUE TRUE TRUE TRUE
"110" TRUE TRUE TRUE TRUE TRUE TRUE FALSE FALSE
"111" FALSE FALSE TRUE FALSE TRUE TRUE FALSE FALSE
"112" TRUE TRUE TRUE TRUE TRUE TRUE FALSE FALSE
"113" FALSE TRUE FALSE TRUE FALSE FALSE TRUE TRUE
"114" FALSE TRUE FALSE TRUE TRUE TRUE TRUE TRUE
"115" FALSE FALSE FALSE TRUE FALSE TRUE TRUE TRUE
"116" FALSE TRUE FALSE FALSE TRUE FALSE FALSE TRUE
"117" TRUE TRUE TRUE TRUE TRUE TRUE TRUE TRUE
"118" TRUE FALSE TRUE FALSE TRUE TRUE FALSE TRUE
"119" TRUE TRUE TRUE TRUE TRUE FALSE FALSE FALSE
"120" TRUE TRUE TRUE FALSE FALSE TRUE TRUE TRUE
"121" FALSE FALSE FALSE TRUE FALSE FALSE TRUE TRUE
"122" TRUE FALSE TRUE TRUE TRUE TRUE FALSE TRUE
